"","commarea","year","crash_type","crashes","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident"
"367","CALUMET HEIGHTS","2015","Vehicle/Other",430,133,0,12,70,51
"368","CALUMET HEIGHTS","2016","PEDALCYCLIST",2,2,0,1,1,0
"369","CALUMET HEIGHTS","2016","PEDESTRIAN",20,21,1,3,8,10
"370","CALUMET HEIGHTS","2016","Vehicle/Other",467,133,1,13,57,63
"371","CALUMET HEIGHTS","2017","PEDALCYCLIST",1,1,0,0,1,0
"372","CALUMET HEIGHTS","2017","PEDESTRIAN",16,17,0,3,11,3
"373","CALUMET HEIGHTS","2017","Vehicle/Other",491,162,2,16,88,58
"374","CHATHAM","2009","PEDALCYCLIST",8,8,0,0,5,3
"375","CHATHAM","2009","PEDESTRIAN",53,54,0,11,28,15
"376","CHATHAM","2009","Vehicle/Other",1225,463,1,37,296,130
"377","CHATHAM","2010","PEDALCYCLIST",8,8,0,1,4,3
"378","CHATHAM","2010","PEDESTRIAN",51,51,1,9,24,18
"379","CHATHAM","2010","Vehicle/Other",1141,352,1,20,225,107
"380","CHATHAM","2011","PEDALCYCLIST",2,2,0,0,2,0
"381","CHATHAM","2011","PEDESTRIAN",51,54,0,7,22,25
"382","CHATHAM","2011","Vehicle/Other",1139,335,2,32,190,113
"383","CHATHAM","2012","PEDALCYCLIST",14,13,1,1,6,6
"384","CHATHAM","2012","PEDESTRIAN",55,55,1,11,32,12
"385","CHATHAM","2012","Vehicle/Other",1139,362,0,36,211,115
"386","CHATHAM","2013","PEDALCYCLIST",15,14,0,1,10,3
"387","CHATHAM","2013","PEDESTRIAN",42,47,0,6,28,13
"388","CHATHAM","2013","Vehicle/Other",1201,301,5,15,180,106
"389","CHATHAM","2014","PEDALCYCLIST",6,6,0,0,3,3
"390","CHATHAM","2014","PEDESTRIAN",37,36,0,8,22,6
"391","CHATHAM","2014","Vehicle/Other",1317,354,3,25,231,98
"392","CHATHAM","2015","PEDALCYCLIST",11,11,0,2,7,2
"393","CHATHAM","2015","PEDESTRIAN",54,56,2,15,34,7
"394","CHATHAM","2015","Vehicle/Other",1522,401,3,27,214,160
"395","CHATHAM","2016","PEDALCYCLIST",9,9,0,1,5,3
"396","CHATHAM","2016","PEDESTRIAN",57,56,0,6,21,29
"397","CHATHAM","2016","Vehicle/Other",1664,391,3,28,216,147
"398","CHATHAM","2017","PEDALCYCLIST",8,8,0,0,6,2
"399","CHATHAM","2017","PEDESTRIAN",47,50,1,8,28,14
"400","CHATHAM","2017","Vehicle/Other",1689,467,0,26,247,194
"401","CHATHAM",NA,"Vehicle/Other",1,0,0,0,0,0
"402","CHICAGO LAWN","2009","PEDALCYCLIST",16,16,0,2,6,8
"403","CHICAGO LAWN","2009","PEDESTRIAN",60,61,1,9,26,26
"404","CHICAGO LAWN","2009","Vehicle/Other",1189,232,1,22,92,118
"405","CHICAGO LAWN","2010","PEDALCYCLIST",13,13,0,0,6,7
"406","CHICAGO LAWN","2010","PEDESTRIAN",69,75,0,8,38,29
"407","CHICAGO LAWN","2010","Vehicle/Other",1192,300,0,15,132,153
"408","CHICAGO LAWN","2011","PEDALCYCLIST",12,10,1,1,6,3
"409","CHICAGO LAWN","2011","PEDESTRIAN",44,45,0,6,22,17
"410","CHICAGO LAWN","2011","Vehicle/Other",1164,199,1,17,87,95
"411","CHICAGO LAWN","2012","PEDALCYCLIST",16,14,0,1,5,8
"412","CHICAGO LAWN","2012","PEDESTRIAN",75,73,1,10,34,29
"413","CHICAGO LAWN","2012","Vehicle/Other",1010,219,0,20,97,102
"414","CHICAGO LAWN","2013","PEDALCYCLIST",17,16,0,0,11,5
"415","CHICAGO LAWN","2013","PEDESTRIAN",58,58,0,11,32,15
"416","CHICAGO LAWN","2013","Vehicle/Other",1028,155,0,12,77,66
"417","CHICAGO LAWN","2014","PEDALCYCLIST",6,6,0,1,2,3
"418","CHICAGO LAWN","2014","PEDESTRIAN",42,45,0,7,25,13
"419","CHICAGO LAWN","2014","Vehicle/Other",1189,185,1,9,98,78
"420","CHICAGO LAWN","2015","PEDALCYCLIST",14,14,0,1,9,4
"421","CHICAGO LAWN","2015","PEDESTRIAN",65,61,2,12,36,13
"422","CHICAGO LAWN","2015","Vehicle/Other",1413,228,1,22,115,91
"423","CHICAGO LAWN","2016","PEDALCYCLIST",19,19,0,1,11,7
"424","CHICAGO LAWN","2016","PEDESTRIAN",46,44,3,7,21,16
"425","CHICAGO LAWN","2016","Vehicle/Other",1437,186,0,22,96,68
"426","CHICAGO LAWN","2017","PEDALCYCLIST",17,17,0,4,10,3
"427","CHICAGO LAWN","2017","PEDESTRIAN",65,64,1,13,35,16
"428","CHICAGO LAWN","2017","Vehicle/Other",1362,221,0,32,123,66
"429","CLEARING","2009","PEDALCYCLIST",2,2,0,0,0,2
"430","CLEARING","2009","PEDESTRIAN",10,8,1,1,4,3
"431","CLEARING","2009","Vehicle/Other",441,88,0,7,43,38
"432","CLEARING","2010","PEDALCYCLIST",8,6,1,1,3,2
"433","CLEARING","2010","PEDESTRIAN",8,9,0,1,6,2
"434","CLEARING","2010","Vehicle/Other",445,88,0,6,26,56
"435","CLEARING","2011","PEDALCYCLIST",5,4,0,1,3,0
"436","CLEARING","2011","PEDESTRIAN",7,8,0,2,1,5
"437","CLEARING","2011","Vehicle/Other",435,74,1,3,29,42
"438","CLEARING","2012","PEDALCYCLIST",3,2,0,0,2,0
"439","CLEARING","2012","PEDESTRIAN",9,8,0,1,4,3
"440","CLEARING","2012","Vehicle/Other",426,85,1,9,52,24
"441","CLEARING","2013","PEDALCYCLIST",7,6,0,2,3,1
"442","CLEARING","2013","PEDESTRIAN",13,11,1,1,8,2
"443","CLEARING","2013","Vehicle/Other",476,90,0,15,39,36
"444","CLEARING","2014","PEDALCYCLIST",4,4,0,0,3,1
"445","CLEARING","2014","PEDESTRIAN",7,7,0,1,3,3
"446","CLEARING","2014","Vehicle/Other",448,71,0,10,32,29
"447","CLEARING","2015","PEDALCYCLIST",5,5,0,0,5,0
"448","CLEARING","2015","PEDESTRIAN",6,6,0,1,4,1
"449","CLEARING","2015","Vehicle/Other",482,58,1,6,28,24
"450","CLEARING","2016","PEDALCYCLIST",5,4,0,0,1,3
"451","CLEARING","2016","PEDESTRIAN",14,14,0,3,4,7
"452","CLEARING","2016","Vehicle/Other",549,86,1,6,51,29
"453","CLEARING","2017","PEDALCYCLIST",4,4,0,0,4,0
"454","CLEARING","2017","PEDESTRIAN",15,14,0,2,9,3
"455","CLEARING","2017","Vehicle/Other",589,108,0,10,47,51
"456","DOUGLAS","2009","PEDALCYCLIST",7,7,0,1,3,3
"457","DOUGLAS","2009","PEDESTRIAN",17,19,1,1,9,9
"458","DOUGLAS","2009","Vehicle/Other",361,107,0,14,56,37
"459","DOUGLAS","2010","PEDALCYCLIST",4,4,0,1,3,0
"460","DOUGLAS","2010","PEDESTRIAN",9,9,0,2,4,3
"461","DOUGLAS","2010","Vehicle/Other",344,123,1,5,72,46
"462","DOUGLAS","2011","PEDALCYCLIST",3,3,0,0,3,0
"463","DOUGLAS","2011","PEDESTRIAN",25,23,2,3,13,7
"464","DOUGLAS","2011","Vehicle/Other",319,84,1,7,36,41
"465","DOUGLAS","2012","PEDALCYCLIST",8,7,0,1,4,2
"466","DOUGLAS","2012","PEDESTRIAN",20,20,0,2,14,4
"467","DOUGLAS","2012","Vehicle/Other",330,97,3,13,50,34
"468","DOUGLAS","2013","PEDALCYCLIST",9,10,0,2,5,3
"469","DOUGLAS","2013","PEDESTRIAN",15,14,1,1,6,7
"470","DOUGLAS","2013","Vehicle/Other",272,48,1,2,16,30
"471","DOUGLAS","2014","PEDALCYCLIST",9,9,0,0,7,2
"472","DOUGLAS","2014","PEDESTRIAN",28,29,0,5,20,4
"473","DOUGLAS","2014","Vehicle/Other",347,95,0,14,46,35
"474","DOUGLAS","2015","PEDALCYCLIST",9,9,0,3,4,2
"475","DOUGLAS","2015","PEDESTRIAN",20,21,0,1,14,6
"476","DOUGLAS","2015","Vehicle/Other",470,108,0,16,48,44
"477","DOUGLAS","2016","PEDALCYCLIST",4,4,0,0,1,3
"478","DOUGLAS","2016","PEDESTRIAN",25,26,0,4,10,12
"479","DOUGLAS","2016","Vehicle/Other",530,141,1,14,84,43
"480","DOUGLAS","2017","PEDALCYCLIST",7,7,0,1,6,0
"481","DOUGLAS","2017","PEDESTRIAN",15,16,0,4,8,4
"482","DOUGLAS","2017","Vehicle/Other",505,107,0,7,57,43
"483","DUNNING","2009","PEDALCYCLIST",14,13,0,0,6,7
"484","DUNNING","2009","PEDESTRIAN",26,25,1,9,7,9
"485","DUNNING","2009","Vehicle/Other",1136,211,0,29,68,114
"486","DUNNING","2010","PEDALCYCLIST",19,19,0,2,8,9
"487","DUNNING","2010","PEDESTRIAN",32,32,1,5,14,13
"488","DUNNING","2010","Vehicle/Other",991,222,1,22,84,116
"489","DUNNING","2011","PEDALCYCLIST",12,11,0,0,3,8
"490","DUNNING","2011","PEDESTRIAN",22,21,1,4,13,4
"491","DUNNING","2011","Vehicle/Other",911,185,0,25,85,75
"492","DUNNING","2012","PEDALCYCLIST",10,10,0,2,8,0
"493","DUNNING","2012","PEDESTRIAN",23,25,0,5,11,9
"494","DUNNING","2012","Vehicle/Other",946,176,0,17,88,71
"495","DUNNING","2013","PEDALCYCLIST",15,15,0,1,8,6
"496","DUNNING","2013","PEDESTRIAN",19,17,0,2,11,4
"497","DUNNING","2013","Vehicle/Other",1036,185,0,20,91,74
"498","DUNNING","2014","PEDALCYCLIST",7,7,0,0,6,1
"499","DUNNING","2014","PEDESTRIAN",22,21,0,3,13,5
"500","DUNNING","2014","Vehicle/Other",1002,200,1,18,112,70
"501","DUNNING","2015","PEDALCYCLIST",18,17,0,2,8,7
"502","DUNNING","2015","PEDESTRIAN",35,31,0,12,13,6
"503","DUNNING","2015","Vehicle/Other",1038,167,0,12,62,93
"504","DUNNING","2016","PEDALCYCLIST",17,16,0,2,4,10
"505","DUNNING","2016","PEDESTRIAN",25,24,0,3,13,8
"506","DUNNING","2016","Vehicle/Other",1065,155,0,15,69,71
"507","DUNNING","2017","PEDALCYCLIST",12,13,0,3,7,3
"508","DUNNING","2017","PEDESTRIAN",18,17,0,4,5,8
"509","DUNNING","2017","Vehicle/Other",946,177,0,16,71,90
"510","EAST GARFIELD PARK","2009","PEDALCYCLIST",15,15,0,2,7,6
"511","EAST GARFIELD PARK","2009","PEDESTRIAN",47,49,1,9,19,21
"512","EAST GARFIELD PARK","2009","Vehicle/Other",975,353,2,42,196,115
"513","EAST GARFIELD PARK","2010","PEDALCYCLIST",10,9,0,0,3,6
"514","EAST GARFIELD PARK","2010","PEDESTRIAN",42,44,0,6,29,9
"515","EAST GARFIELD PARK","2010","Vehicle/Other",1024,366,1,44,192,130
"516","EAST GARFIELD PARK","2011","PEDALCYCLIST",12,12,0,2,5,5
"517","EAST GARFIELD PARK","2011","PEDESTRIAN",46,47,1,9,21,17
"518","EAST GARFIELD PARK","2011","Vehicle/Other",1001,295,2,22,170,103
"519","EAST GARFIELD PARK","2012","PEDALCYCLIST",11,11,0,0,6,5
"520","EAST GARFIELD PARK","2012","PEDESTRIAN",30,32,1,3,15,14
"521","EAST GARFIELD PARK","2012","Vehicle/Other",948,311,1,42,185,84
"522","EAST GARFIELD PARK","2013","PEDALCYCLIST",12,11,0,0,6,5
"523","EAST GARFIELD PARK","2013","PEDESTRIAN",35,33,0,6,15,12
"524","EAST GARFIELD PARK","2013","Vehicle/Other",965,293,0,34,159,100
"525","EAST GARFIELD PARK","2014","PEDALCYCLIST",7,7,0,0,4,3
"526","EAST GARFIELD PARK","2014","PEDESTRIAN",35,34,2,3,24,7
"527","EAST GARFIELD PARK","2014","Vehicle/Other",991,271,0,52,119,100
"528","EAST GARFIELD PARK","2015","PEDALCYCLIST",12,12,0,0,10,2
"529","EAST GARFIELD PARK","2015","PEDESTRIAN",45,48,0,7,35,6
"530","EAST GARFIELD PARK","2015","Vehicle/Other",1145,348,0,67,163,118
"531","EAST GARFIELD PARK","2016","PEDALCYCLIST",10,9,0,1,6,2
"532","EAST GARFIELD PARK","2016","PEDESTRIAN",40,43,1,12,15,16
"533","EAST GARFIELD PARK","2016","Vehicle/Other",1331,393,2,26,232,135
"534","EAST GARFIELD PARK","2017","PEDALCYCLIST",11,10,1,4,5,1
"535","EAST GARFIELD PARK","2017","PEDESTRIAN",32,30,2,6,15,9
"536","EAST GARFIELD PARK","2017","Vehicle/Other",1198,402,8,45,224,133
"537","EAST GARFIELD PARK",NA,"Vehicle/Other",1,0,0,0,0,0
"538","EAST SIDE","2009","PEDALCYCLIST",7,7,0,0,6,1
"539","EAST SIDE","2009","PEDESTRIAN",11,11,1,3,5,3
"540","EAST SIDE","2009","Vehicle/Other",327,84,3,8,50,26
"541","EAST SIDE","2010","PEDALCYCLIST",4,4,0,0,3,1
"542","EAST SIDE","2010","PEDESTRIAN",15,15,0,1,11,3
"543","EAST SIDE","2010","Vehicle/Other",336,89,0,13,54,22
"544","EAST SIDE","2011","PEDALCYCLIST",8,7,0,0,5,2
"545","EAST SIDE","2011","PEDESTRIAN",14,13,0,0,9,4
"546","EAST SIDE","2011","Vehicle/Other",358,77,1,6,44,27
"547","EAST SIDE","2012","PEDALCYCLIST",2,2,0,0,0,2
"548","EAST SIDE","2012","PEDESTRIAN",7,7,0,2,3,2
"549","EAST SIDE","2012","Vehicle/Other",348,91,1,6,48,37
"550","EAST SIDE","2013","PEDALCYCLIST",5,5,0,1,2,2
"551","EAST SIDE","2013","PEDESTRIAN",7,7,0,0,5,2
"552","EAST SIDE","2013","Vehicle/Other",351,87,0,13,49,25
"553","EAST SIDE","2014","PEDALCYCLIST",5,5,0,0,3,2
"554","EAST SIDE","2014","PEDESTRIAN",9,8,1,2,5,1
"555","EAST SIDE","2014","Vehicle/Other",377,83,0,5,47,31
"556","EAST SIDE","2015","PEDALCYCLIST",5,5,0,2,2,1
"557","EAST SIDE","2015","PEDESTRIAN",12,13,0,1,9,3
"558","EAST SIDE","2015","Vehicle/Other",374,60,0,5,31,24
"559","EAST SIDE","2016","PEDALCYCLIST",8,7,0,0,3,4
"560","EAST SIDE","2016","PEDESTRIAN",11,11,0,2,6,3
"561","EAST SIDE","2016","Vehicle/Other",380,78,4,7,45,26
"562","EAST SIDE","2017","PEDALCYCLIST",2,2,0,0,1,1
"563","EAST SIDE","2017","PEDESTRIAN",4,4,0,0,3,1
"564","EAST SIDE","2017","Vehicle/Other",341,59,0,10,33,16
"565","EDGEWATER","2009","PEDALCYCLIST",39,41,0,6,18,17
"566","EDGEWATER","2009","PEDESTRIAN",39,40,0,3,26,11
"567","EDGEWATER","2009","Vehicle/Other",1026,145,0,19,61,65
"568","EDGEWATER","2010","PEDALCYCLIST",33,31,0,4,13,14
"569","EDGEWATER","2010","PEDESTRIAN",41,40,0,8,20,12
"570","EDGEWATER","2010","Vehicle/Other",990,160,0,11,66,83
"571","EDGEWATER","2011","PEDALCYCLIST",36,38,0,1,26,11
"572","EDGEWATER","2011","PEDESTRIAN",47,47,1,6,22,19
"573","EDGEWATER","2011","Vehicle/Other",910,161,0,14,84,63
"574","EDGEWATER","2012","PEDALCYCLIST",43,38,0,2,31,5
"575","EDGEWATER","2012","PEDESTRIAN",48,47,0,2,29,16
"576","EDGEWATER","2012","Vehicle/Other",990,153,0,11,65,77
"577","EDGEWATER","2013","PEDALCYCLIST",38,35,0,3,20,12
"578","EDGEWATER","2013","PEDESTRIAN",51,47,0,7,27,13
"579","EDGEWATER","2013","Vehicle/Other",968,144,0,12,62,70
"580","EDGEWATER","2014","PEDALCYCLIST",41,38,0,1,29,8
"581","EDGEWATER","2014","PEDESTRIAN",32,36,1,3,22,11
"582","EDGEWATER","2014","Vehicle/Other",935,128,0,11,70,47
"583","EDGEWATER","2015","PEDALCYCLIST",34,32,0,5,18,9
"584","EDGEWATER","2015","PEDESTRIAN",45,42,0,6,28,8
"585","EDGEWATER","2015","Vehicle/Other",928,147,1,14,54,79
"586","EDGEWATER","2016","PEDALCYCLIST",40,39,0,2,21,16
"587","EDGEWATER","2016","PEDESTRIAN",42,45,0,11,20,14
"588","EDGEWATER","2016","Vehicle/Other",1065,119,0,14,38,67
"589","EDGEWATER","2017","PEDALCYCLIST",23,21,0,1,13,7
"590","EDGEWATER","2017","PEDESTRIAN",39,36,1,14,13,9
"591","EDGEWATER","2017","Vehicle/Other",1068,159,1,9,89,61
"592","EDISON PARK","2009","PEDALCYCLIST",3,3,0,1,1,1
"593","EDISON PARK","2009","PEDESTRIAN",2,2,0,0,0,2
"594","EDISON PARK","2009","Vehicle/Other",234,42,1,6,18,18
"595","EDISON PARK","2010","PEDALCYCLIST",6,5,0,0,5,0
"596","EDISON PARK","2010","PEDESTRIAN",4,4,0,1,2,1
"597","EDISON PARK","2010","Vehicle/Other",200,43,0,9,16,18
"598","EDISON PARK","2011","PEDALCYCLIST",1,1,0,0,0,1
"599","EDISON PARK","2011","PEDESTRIAN",4,4,0,0,4,0
"600","EDISON PARK","2011","Vehicle/Other",208,25,0,4,8,13
"601","EDISON PARK","2012","PEDALCYCLIST",3,3,0,2,1,0
"602","EDISON PARK","2012","PEDESTRIAN",3,3,0,0,3,0
"603","EDISON PARK","2012","Vehicle/Other",200,23,0,3,7,13
"604","EDISON PARK","2013","PEDALCYCLIST",3,3,0,0,3,0
"605","EDISON PARK","2013","PEDESTRIAN",5,4,0,1,2,1
"606","EDISON PARK","2013","Vehicle/Other",190,13,0,1,5,7
"607","EDISON PARK","2014","PEDALCYCLIST",1,1,0,0,1,0
"608","EDISON PARK","2014","PEDESTRIAN",4,4,0,1,2,1
"609","EDISON PARK","2014","Vehicle/Other",229,34,0,3,15,16
"610","EDISON PARK","2015","PEDALCYCLIST",3,2,0,2,0,0
"611","EDISON PARK","2015","PEDESTRIAN",4,3,0,0,3,0
"612","EDISON PARK","2015","Vehicle/Other",276,43,0,6,17,20
"613","EDISON PARK","2016","PEDALCYCLIST",1,0,0,0,0,0
"614","EDISON PARK","2016","PEDESTRIAN",5,5,0,1,3,1
"615","EDISON PARK","2016","Vehicle/Other",243,38,0,5,21,12
"616","EDISON PARK","2017","PEDALCYCLIST",1,1,0,1,0,0
"617","EDISON PARK","2017","PEDESTRIAN",3,3,0,0,2,1
"618","EDISON PARK","2017","Vehicle/Other",260,39,0,3,23,13
"619","ENGLEWOOD","2009","PEDALCYCLIST",7,7,0,1,4,2
"620","ENGLEWOOD","2009","PEDESTRIAN",68,76,0,15,41,20
"621","ENGLEWOOD","2009","Vehicle/Other",1223,408,3,44,225,139
"622","ENGLEWOOD","2010","PEDALCYCLIST",12,11,1,2,8,1
"623","ENGLEWOOD","2010","PEDESTRIAN",53,55,2,4,37,14
"624","ENGLEWOOD","2010","Vehicle/Other",1216,388,8,29,212,147
"625","ENGLEWOOD","2011","PEDALCYCLIST",11,12,0,3,3,6
"626","ENGLEWOOD","2011","PEDESTRIAN",49,55,1,4,30,21
"627","ENGLEWOOD","2011","Vehicle/Other",1074,388,2,39,199,150
"628","ENGLEWOOD","2012","PEDALCYCLIST",12,12,0,2,6,4
"629","ENGLEWOOD","2012","PEDESTRIAN",45,45,1,10,24,11
"630","ENGLEWOOD","2012","Vehicle/Other",1104,381,3,39,189,153
"631","ENGLEWOOD","2013","PEDALCYCLIST",13,13,0,2,10,1
"632","ENGLEWOOD","2013","PEDESTRIAN",47,49,2,5,32,12
"633","ENGLEWOOD","2013","Vehicle/Other",1167,369,2,26,205,138
"634","ENGLEWOOD","2014","PEDALCYCLIST",5,6,0,1,4,1
"635","ENGLEWOOD","2014","PEDESTRIAN",48,48,0,4,29,15
"636","ENGLEWOOD","2014","Vehicle/Other",1235,399,1,53,210,136
"637","ENGLEWOOD","2015","PEDALCYCLIST",11,12,0,1,10,1
"638","ENGLEWOOD","2015","PEDESTRIAN",49,47,2,14,27,6
"639","ENGLEWOOD","2015","Vehicle/Other",1457,457,2,41,230,186
"640","ENGLEWOOD","2016","PEDALCYCLIST",8,8,0,1,6,1
"641","ENGLEWOOD","2016","PEDESTRIAN",40,41,0,8,23,10
"642","ENGLEWOOD","2016","Vehicle/Other",1626,435,0,35,237,163
"643","ENGLEWOOD","2017","PEDALCYCLIST",8,8,0,1,6,1
"644","ENGLEWOOD","2017","PEDESTRIAN",40,40,1,6,29,5
"645","ENGLEWOOD","2017","Vehicle/Other",1386,453,2,43,256,154
"646","FOREST GLEN","2009","PEDALCYCLIST",6,6,0,2,2,2
"647","FOREST GLEN","2009","PEDESTRIAN",5,5,0,1,1,3
"648","FOREST GLEN","2009","Vehicle/Other",620,153,3,9,75,69
"649","FOREST GLEN","2010","PEDALCYCLIST",6,6,0,1,4,1
"650","FOREST GLEN","2010","PEDESTRIAN",7,7,0,1,5,1
"651","FOREST GLEN","2010","Vehicle/Other",622,146,1,26,64,56
"652","FOREST GLEN","2011","PEDALCYCLIST",2,1,0,0,0,1
"653","FOREST GLEN","2011","Vehicle/Other",535,125,1,15,62,48
"654","FOREST GLEN","2012","PEDALCYCLIST",9,8,1,1,5,2
"655","FOREST GLEN","2012","PEDESTRIAN",12,11,0,2,6,3
"656","FOREST GLEN","2012","Vehicle/Other",591,135,0,10,68,57
"657","FOREST GLEN","2013","PEDALCYCLIST",7,7,0,0,7,0
"658","FOREST GLEN","2013","PEDESTRIAN",8,8,0,1,7,0
"659","FOREST GLEN","2013","Vehicle/Other",635,120,3,8,67,45
"660","FOREST GLEN","2014","PEDALCYCLIST",6,5,0,0,3,2
"661","FOREST GLEN","2014","PEDESTRIAN",1,1,0,1,0,0
"662","FOREST GLEN","2014","Vehicle/Other",629,129,0,12,65,52
"663","FOREST GLEN","2015","PEDALCYCLIST",9,9,0,2,6,1
"664","FOREST GLEN","2015","PEDESTRIAN",5,4,0,1,0,3
"665","FOREST GLEN","2015","Vehicle/Other",635,138,1,15,59,64
"666","FOREST GLEN","2016","PEDALCYCLIST",4,4,0,1,1,2
"667","FOREST GLEN","2016","PEDESTRIAN",10,10,0,4,2,4
"668","FOREST GLEN","2016","Vehicle/Other",740,100,0,11,33,56
"669","FOREST GLEN","2017","PEDALCYCLIST",3,3,0,2,1,0
"670","FOREST GLEN","2017","PEDESTRIAN",7,7,0,3,3,1
"671","FOREST GLEN","2017","Vehicle/Other",678,168,1,18,73,77
"672","FULLER PARK","2009","PEDALCYCLIST",3,3,0,0,2,1
"673","FULLER PARK","2009","PEDESTRIAN",7,7,0,1,2,4
"674","FULLER PARK","2009","Vehicle/Other",431,160,0,26,82,52
"675","FULLER PARK","2010","PEDALCYCLIST",2,2,0,0,2,0
"676","FULLER PARK","2010","PEDESTRIAN",8,8,0,0,6,2
"677","FULLER PARK","2010","Vehicle/Other",495,172,0,18,102,52
"678","FULLER PARK","2011","PEDALCYCLIST",1,0,1,0,0,0
"679","FULLER PARK","2011","PEDESTRIAN",3,3,0,2,1,0
"680","FULLER PARK","2011","Vehicle/Other",489,175,3,16,113,46
"681","FULLER PARK","2012","PEDALCYCLIST",2,1,1,0,1,0
"682","FULLER PARK","2012","PEDESTRIAN",3,4,0,0,3,1
"683","FULLER PARK","2012","Vehicle/Other",508,190,3,18,114,58
"684","FULLER PARK","2013","PEDESTRIAN",6,6,0,2,4,0
"685","FULLER PARK","2013","Vehicle/Other",542,179,0,21,117,41
"686","FULLER PARK","2014","PEDALCYCLIST",3,3,0,0,2,1
"687","FULLER PARK","2014","PEDESTRIAN",5,5,0,0,2,3
"688","FULLER PARK","2014","Vehicle/Other",609,191,1,21,125,45
"689","FULLER PARK","2015","PEDALCYCLIST",1,2,0,1,0,1
"690","FULLER PARK","2015","PEDESTRIAN",9,9,0,0,8,1
"691","FULLER PARK","2015","Vehicle/Other",686,175,0,17,102,56
"692","FULLER PARK","2016","PEDALCYCLIST",1,1,0,1,0,0
"693","FULLER PARK","2016","PEDESTRIAN",7,7,0,3,1,3
"694","FULLER PARK","2016","Vehicle/Other",732,235,3,13,191,31
"695","FULLER PARK","2017","PEDESTRIAN",13,13,0,0,10,3
"696","FULLER PARK","2017","Vehicle/Other",787,229,3,12,159,58
"697","GAGE PARK","2009","PEDALCYCLIST",10,10,0,0,2,8
"698","GAGE PARK","2009","PEDESTRIAN",37,39,0,5,16,18
"699","GAGE PARK","2009","Vehicle/Other",800,147,1,8,68,71
"700","GAGE PARK","2010","PEDALCYCLIST",5,4,0,0,3,1
"701","GAGE PARK","2010","PEDESTRIAN",34,37,0,4,15,18
"702","GAGE PARK","2010","Vehicle/Other",769,155,0,14,62,79
"703","GAGE PARK","2011","PEDALCYCLIST",4,3,0,0,1,2
"704","GAGE PARK","2011","PEDESTRIAN",27,26,1,4,12,10
"705","GAGE PARK","2011","Vehicle/Other",710,170,0,16,68,86
"706","GAGE PARK","2012","PEDALCYCLIST",4,4,0,0,2,2
"707","GAGE PARK","2012","PEDESTRIAN",25,23,0,3,11,9
"708","GAGE PARK","2012","Vehicle/Other",763,149,0,10,84,55
"709","GAGE PARK","2013","PEDALCYCLIST",11,9,0,1,7,1
"710","GAGE PARK","2013","PEDESTRIAN",29,30,0,2,17,11
"711","GAGE PARK","2013","Vehicle/Other",751,146,1,14,65,67
"712","GAGE PARK","2014","PEDALCYCLIST",12,11,0,2,5,4
"713","GAGE PARK","2014","PEDESTRIAN",27,25,1,2,18,5
"714","GAGE PARK","2014","Vehicle/Other",775,145,0,36,64,45
"715","GAGE PARK","2015","PEDALCYCLIST",18,18,0,2,9,7
"716","GAGE PARK","2015","PEDESTRIAN",28,27,0,8,15,4
"717","GAGE PARK","2015","Vehicle/Other",816,129,1,7,75,47
"718","GAGE PARK","2016","PEDALCYCLIST",16,15,0,2,10,3
"719","GAGE PARK","2016","PEDESTRIAN",32,30,0,4,16,10
"720","GAGE PARK","2016","Vehicle/Other",961,149,0,13,78,58
"721","GAGE PARK","2017","PEDALCYCLIST",14,13,0,2,9,2
"722","GAGE PARK","2017","PEDESTRIAN",22,21,1,3,15,3
"723","GAGE PARK","2017","Vehicle/Other",932,149,0,9,91,49
"724","GARFIELD RIDGE","2009","PEDALCYCLIST",10,11,0,1,4,6
"725","GARFIELD RIDGE","2009","PEDESTRIAN",27,27,0,7,9,11
"726","GARFIELD RIDGE","2009","Vehicle/Other",1192,269,0,29,94,146
"727","GARFIELD RIDGE","2010","PEDALCYCLIST",8,7,0,0,3,4
"728","GARFIELD RIDGE","2010","PEDESTRIAN",23,23,0,4,9,10
"729","GARFIELD RIDGE","2010","Vehicle/Other",1146,261,3,25,114,122
"730","GARFIELD RIDGE","2011","PEDALCYCLIST",10,7,0,0,3,4
"731","GARFIELD RIDGE","2011","PEDESTRIAN",26,26,0,6,8,12
"732","GARFIELD RIDGE","2011","Vehicle/Other",1230,224,2,12,109,103
"733","GARFIELD RIDGE","2012","PEDALCYCLIST",7,7,0,0,4,3
"734","GARFIELD RIDGE","2012","PEDESTRIAN",17,15,1,0,10,5
"735","GARFIELD RIDGE","2012","Vehicle/Other",1284,253,0,22,107,124
"736","GARFIELD RIDGE","2013","PEDALCYCLIST",14,13,0,3,5,5
"737","GARFIELD RIDGE","2013","PEDESTRIAN",23,24,2,4,12,8
"738","GARFIELD RIDGE","2013","Vehicle/Other",1250,243,1,14,115,114
"739","GARFIELD RIDGE","2014","PEDALCYCLIST",16,14,1,3,9,2
"740","GARFIELD RIDGE","2014","PEDESTRIAN",17,17,0,2,11,4
"741","GARFIELD RIDGE","2014","Vehicle/Other",1251,195,0,8,87,100
"742","GARFIELD RIDGE","2015","PEDALCYCLIST",15,14,0,0,9,5
"743","GARFIELD RIDGE","2015","PEDESTRIAN",23,21,0,4,13,4
